@relation Rel

@attribute 'contains copyright' numeric
@attribute 'contains author' numeric
@attribute 'followed by class' numeric
@attribute 'doc comment' numeric
@attribute 'ast location' numeric
@attribute 'decl. distance' numeric
@attribute 'code indicators' numeric
@attribute 'special characters' numeric
@attribute context numeric
@attribute section numeric
@attribute 'inside method' numeric
@attribute length numeric
@attribute task numeric
@attribute 'followed by comment' numeric
@attribute first numeric
@attribute 'Classification Category' {COPYRIGHT,HEADER,INTERFACE,INLINE,SECTION,TASK,CODE}

@data
0,0,0,0,1,2,0,0.021978,1,0,0,6,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.016746,1,0,0,14,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.021858,1,0,0,6,0,0,0,INTERFACE
0,0,0,0,2,-1,0,0.08,0,0,1,1,0,1,0,INLINE
0,0,0,0,1,-1,0,0.02439,0,0,0,1,0,1,0,SECTION
0,0,0,0,1,4,0,0.010499,1,0,0,11,0,0,0,INTERFACE
0,0,0,0,1,2,0,0.010204,1,0,0,7,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.018315,1,0,0,19,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.023474,1,0,0,11,0,0,0,INTERFACE
0,0,0,1,1,5,0,0.008086,1,0,0,18,0,0,0,INTERFACE
0,0,0,1,1,5,0,0.011952,1,0,0,13,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.02649,1,0,0,13,0,0,0,INTERFACE
0,0,0,0,1,-1,0,0.662252,0,1,0,3,0,1,0,SECTION
0,0,0,0,1,-1,0,0.02439,0,0,0,1,0,1,0,INTERFACE
0,0,0,1,1,2,0,0.005338,1,0,0,14,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.005329,1,0,0,14,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.006676,1,0,0,17,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.005025,1,0,0,13,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.004471,1,0,0,14,0,0,0,INTERFACE
0,0,0,1,1,2,0,0.006608,1,0,0,14,0,0,0,INTERFACE
0,0,0,0,1,-1,0,0.024691,0,0,0,1,0,1,0,SECTION
0,0,0,1,1,3,0,0.021053,1,0,0,8,0,0,0,INTERFACE
0,0,0,1,1,6,0,0.023904,1,0,0,8,0,0,0,INTERFACE
0,0,0,0,2,28,0,0.042553,0,0,1,1,0,0,0,INLINE
0,0,0,0,1,4,0,0.017699,1,0,0,5,0,0,0,INTERFACE
0,0,0,0,2,-1,0,0.111111,0,0,1,1,0,0,0,INLINE
1,0,0,0,0,-1,0,0.01601,0,0,0,18,0,0,1,COPYRIGHT
0,1,1,0,0,-1,0,0.028369,0,0,0,6,0,0,0,HEADER
1,0,0,0,0,-1,0,0.017794,0,1,0,10,0,0,1,COPYRIGHT
0,1,1,0,0,-1,0,0.015152,0,0,0,5,0,0,0,HEADER
0,0,0,0,1,4,0,0.057143,0,0,0,3,0,0,0,INTERFACE
0,0,0,0,2,11,0,0.216216,0,0,1,1,0,0,0,INLINE
0,0,0,0,2,-1,0,0.216216,0,0,1,1,0,0,0,INLINE
0,0,0,0,2,-1,0,0.030769,0,0,1,1,0,0,0,INLINE
0,0,0,0,2,0,0,0.216216,0,0,1,1,0,0,0,INLINE
